28,Devolucion de factura,50,2021-8-4,2023-07-36143
28,Reinstallation in new house,70,2021-3-12,2023-07-36144
28,Cobro remesa nº 92 FACTURA N. C/6961 - 1,50,2021-8-5,2023-07-36145
28,Cobro remesa nº 89 FACTURA N. C/6961 - 1,50,2021-8-2,2023-07-36146
28,Cobro remesa nº 83 FACTURA N. C/5985 - 1,50,2021-7-1,2023-07-36147
28,Cobro remesa nº 81 FACTURA N. C/5013 - 1,50,2021-6-1,2023-07-36148
28,Cobro remesa nº 77 FACTURA N. C/4048 - 1,50,2021-5-3,2023-07-36149
28,Cobro remesa nº 71 FACTURA N. C/3065 - 1,51.82,2021-4-1,2023-07-36150
28,Cobro remesa nº 66 FACTURA N. C/2072 - 1,50,2021-3-1,2023-07-36151
28,Cobro remesa nº 61 FACTURA N. C/1044 - 1,50,2021-2-1,2023-07-36152
28,Cobro remesa nº 58 FACTURA N. C/23 - 1,50,2021-1-4,2023-07-36153
28,Cobro remesa nº 54 FACTURA N. C/9662 - 1,50,2020-12-1,2023-07-36154
28,Cobro remesa nº 51 FACTURA N. C/8614 - 1,50,2020-11-2,2023-07-36155
28,Cobro remesa nº 5 FACTURA N. C/171 - 1,19.68,2019-11-5,2023-07-36156
28,Cobro remesa nº 47 FACTURA N. C/7490 - 1,50,2020-10-1,2023-07-36157
28,Cobro remesa nº 45 FACTURA N. C/6367 - 1,50,2020-9-1,2023-07-36158
28,Cobro remesa nº 4 FACTURA N. C/57 - 1,61,2019-11-4,2023-07-36159
28,Cobro remesa nº 38 FACTURA N. C/5261 - 1,50,2020-8-3,2023-07-36160
28,Cobro remesa nº 35 FACTURA N. C/4191 - 1,50,2020-7-1,2023-07-36161
28,Cobro remesa nº 29 FACTURA N. C/3185 - 1,50,2020-6-1,2023-07-36162
28,Cobro remesa nº 26 FACTURA N. C/2219 - 1,50,2020-5-4,2023-07-36163
28,Cobro remesa nº 24 FACTURA N. C/1280 - 1,50,2020-4-1,2023-07-36164
28,Cobro remesa nº 21 FACTURA N. C/714 - 1,50,2020-3-2,2023-07-36165
28,Cobro remesa nº 20 FACTURA N. C/333 - 1,39,2020-2-3,2023-07-36166
28,Cobro remesa nº 195 FACTURA N. C/5386 - 1,50,2023-6-1,2023-07-36167
28,Cobro remesa nº 187 FACTURA N. C/4223 - 1,50,2023-5-1,2023-07-36168
28,Cobro remesa nº 184 FACTURA N. C/3147 - 1,50,2023-4-3,2023-07-36169
28,Cobro remesa nº 182 FACTURA N. C/2061 - 1,50,2023-3-3,2023-07-36170
28,Cobro remesa nº 18 FACTURA N. C/24 - 1,39,2020-1-1,2023-07-36171
28,Cobro remesa nº 174 FACTURA N. C/1021 - 1,50,2023-2-2,2023-07-36172
28,Cobro remesa nº 172 FACTURA N. C/17 - 1,50,2023-1-2,2023-07-36173
28,Cobro remesa nº 167 FACTURA N. C/10844 - 1,50,2022-12-2,2023-07-36174
28,Cobro remesa nº 163 FACTURA N. C/9844 - 1,50,2022-11-2,2023-07-36175
28,Cobro remesa nº 158 FACTURA N. C/8792 - 1,50,2022-10-1,2023-07-36176
28,Cobro remesa nº 155 FACTURA N. C/7773 - 1,50,2022-9-1,2023-07-36177
28,Cobro remesa nº 150 FACTURA N. C/6787 - 1,50,2022-8-1,2023-07-36178
28,Cobro remesa nº 15 FACTURA N. C/325 - 1,61,2019-12-1,2023-07-36179
28,Cobro remesa nº 145 FACTURA N. C/5819 - 1,50,2022-7-1,2023-07-36180
28,Cobro remesa nº 142 FACTURA N. C/4824 - 1,50,2022-6-1,2023-07-36181
28,Cobro remesa nº 138 FACTURA N. C/3865 - 1,50,2022-5-2,2023-07-36182
28,Cobro remesa nº 132 FACTURA N. C/2905 - 1,50,2022-4-1,2023-07-36183
28,Cobro remesa nº 129 FACTURA N. C/1944 - 1,50,2022-2-1,2023-07-36184
28,Cobro remesa nº 124 FACTURA N. C/976 - 1,50,2022-2-1,2023-07-36185
28,Cobro remesa nº 120 FACTURA N. C/18 - 1,50,2022-1-3,2023-07-36186
28,Cobro remesa nº 113 FACTURA N. C/10899 - 1,50,2021-12-1,2023-07-36187
28,Cobro remesa nº 111 FACTURA N. C/9920 - 1,50,2021-11-2,2023-07-36188
28,Cobro remesa nº 108 FACTURA N. C/8926 - 1,50,2021-10-1,2023-07-36189
