389,DEVOLUCINO FACTURA,65.5,2020-3-5,2023-07-00150
389,DEVOLUCINO FACTURA,65.5,2020-7-6,2023-07-00151
1800,DEVOLUCINO FACTURA,64.52,2021-6-7,2023-07-00152
1667,DEVOLUCION FACTURA,60.5,2021-8-5,2023-07-00153
389,DEVOLUCINO FACTURA,60.5,2020-8-7,2023-07-00154
782,DEVOLUCION FACTURAS,60,2020-9-7,2023-07-00155
552,DEVOLUCION FACTURA,60,2021-12-3,2023-07-00156
552,DEVOLUCION FACTURA,60,2022-2-3,2023-07-00157
552,DEVOLUCINO FACTURA,60,2020-4-3,2023-07-00158
552,DEVOLUCINO FACTURA,60,2020-7-3,2023-07-00159
552,DEVOLUCINO FACTURA,60,2020-11-4,2023-07-00160
552,DEVOLUCINO FACTURA,60,2021-1-6,2023-07-00161
552,DEVOLUCINO FACTURA,60,2021-2-5,2023-07-00162
552,DEVOLUCINO FACTURA,60,2021-5-6,2023-07-00163
552,DEVOLUCINO FACTURA,60,2021-7-5,2023-07-00164
552,DEVOLUCINO FACTURA,60,2021-11-4,2023-07-00165
364,DEVOLUCINO FACTURA,60,2020-8-4,2023-07-00166
346,DEVOLUCION FACTURA,60,2022-3-15,2023-07-00167
346,DEVOLUCION FACTURA,60,2022-4-5,2023-07-00168
292,DEVOLUCINO FACTURA,60,2020-8-10,2023-07-00169
284,DEVOLUCINO FACTURA,60,2020-1-6,2023-07-00170
273,DEVOLUCION FACTURA,60,2021-11-3,2023-07-00171
141,DEVOLUCION FACTURA,60,2021-8-5,2023-07-00172
389,DEVOLUCINO FACTURA,59.24,2020-3-5,2023-07-00173
111420,DEVOLUCION FACTURA,55,2023-5-8,2023-07-00174
111355,DEVOLUCION FACTURA,55,2023-6-9,2023-07-00175
111294,DEVOLUCION FACTURA,55,2022-12-6,2023-07-00176
111294,DEVOLUCION FACTURA,55,2022-12-14,2023-07-00177
10467,DEVOLUCION FACTURAS,55,2020-9-3,2023-07-00178
10141,DEVOLUCION FACTURA,55,2022-6-9,2023-07-00179
10141,DEVOLUCION FACTURA,55,2022-7-4,2023-07-00180
1667,DEVOLUCION FACTURA,55,2022-4-5,2023-07-00181
1428,Devolucion de factura,55,2022-5-4,2023-07-00182
1030,DEVOLUCION FACTURA,55,2023-3-7,2023-07-00183
1010,DEVOLUCINO FACTURA,55,2020-8-10,2023-07-00184
1008,DEVOLUCINO FACTURA,55,2020-5-25,2023-07-00185
1008,DEVOLUCINO FACTURA,55,2020-6-4,2023-07-00186
989,DEVOLUCION FACTURA,55,2022-1-6,2023-07-00187
828,DEVOLUCION FACTURAS,55,2020-9-3,2023-07-00188
812,DEVOLUCINO FACTURA,55,2020-6-8,2023-07-00189
782,DEVOLUCION FACTURAS,55,2020-9-7,2023-07-00190
782,DEVOLUCINO FACTURA,55,2020-8-10,2023-07-00191
640,COBRO FACTURA,55,2020-4-8,2023-07-00192
555,DEVOLUCINO FACTURA,55,2020-4-6,2023-07-00193
552,DEVOLUCION FACTURA,55,2020-3-4,2023-07-00194
552,Devolucion de factura,55,2021-8-4,2023-07-00195
513,DEVOLUCINO FACTURA,55,2020-7-8,2023-07-00196
471,DEVOLUCINO FACTURA,55,2020-12-4,2023-07-00197
404,DEVOLUCION FACTURA,55,2020-3-4,2023-07-00198
364,DEVOLUCINO FACTURA,55,2020-7-2,2023-07-00199
346,Devolucion de factura,55,2021-8-4,2023-07-00200
292,DEVOLUCINO FACTURA,55,2020-6-8,2023-07-00201
292,DEVOLUCINO FACTURA,55,2020-7-8,2023-07-00202
292,DEVOLUCINO FACTURA,55,2020-8-10,2023-07-00203
273,DEVOLUCION FACTURA,55,2021-10-4,2023-07-00204
91,DEVOLUCION FACTURA,55,2022-1-6,2023-07-00205
